"id"	"film_name"	"initial_name"	"country"	"release_year"	"type"	"score"	"evaluate_number"	"role"	"introduction"	"image_src"	"alias"	"language"	"time"	"details_src"	"price"	"create_date"	"create_by"	"update_date"	"update_by"	"is_deleted"	"version"
"97"	"哈利·波特与密室"	" Harry Potter and the Chamber of Secrets"	" 英国 美国 "	"2002 "	" 奇幻 冒险"	"8.8"	"730593"	"导演:ChrisColumbus   主演:丹尼尔·雷德克里夫DanielRadcliffe/艾玛..."	"魔法的密室之门已打开..."	"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1082651990.jpg"	" / 哈利波特2：消失的密室(港 / 台) "	"英语"	"161分钟/174分钟(加长版)"	"https://movie.douban.com/subject/1296996/"	"34.34"					"0"	
"98"	"狩猎"	" Jagten"	" 丹麦 瑞典 "	"2012 "	" 剧情"	"9.1"	"379101"	"导演:托马斯·温特伯格ThomasVinterberg   主演:麦斯·米科尔森MadsMik..."	"人言可畏"	"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg"	" / 诬网(港)  /  谎言的烙印(台)"	"丹麦语/英语/波兰语"	"115分钟/110分钟"	"https://movie.douban.com/subject/6985810/"	"34.34"					"0"	
"99"	"被嫌弃的松子的一生"	" 嫌われ松子の一生"	" 日本 "	"2006 "	" 剧情 歌舞"	"8.9"	"689866"	"导演:中岛哲也TetsuyaNakashima   主演:中谷美纪MikiNakatani/瑛太E..."	"以戏谑来戏谑戏谑"	"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg"	" / 花样奇缘(港)  /  令人讨厌的松子的一生(台)"	"日语"	"130分钟"	"https://movie.douban.com/subject/1787291/"	"34.34"					"0"	
"100"	"7号房的礼物"	" 7번방의 선물"	" 韩国 "	"2013 "	" 剧情 喜剧 家庭"	"8.9"	"544485"	"导演:李焕庆Hwan-kyeongLee   主演:柳承龙Seung-yongRyoo/朴信惠Shi..."	"《我是山姆》的《美丽人生》"	"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg"	" / 戆爸的礼物(港)  /  7号囚房的礼物"	"韩语"	"127分钟"	"https://movie.douban.com/subject/10777687/"	"34.34"					"0"	
"101"	"一一"	" Yi yi  "	" 中国台湾 日本 "	"2000 "	" 剧情 爱情 家庭"	"9.1"	"378762"	"导演:杨德昌EdwardYang   主演:吴念真/李凯莉KellyLee/金燕玲Elai..."	"我们都曾经是一一"	"https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg"	" / Yi yi  /  Yi yi: A One and a Two"	"汉语普通话/闽南语/英语/日语"	"173分钟"	"https://movie.douban.com/subject/1292434/"	"34.34"					"0"	
"102"	"唐伯虎点秋香"	" 唐伯虎點秋香"	" 中国香港 "	"1993 "	" 喜剧 爱情 古装"	"8.7"	"1051220"	"导演:李力持Lik-ChiLee   主演:周星驰StephenChow/巩俐LiGong/陈..."	"华太师是黄霑，吴镇宇四大才子之一"	"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.jpg"	" / Flirting Scholar"	"粤语"	"102分钟"	"https://movie.douban.com/subject/1306249/"	"34.34"					"0"	
"103"	"请以你的名字呼唤我"	" Call Me by Your Name"	" 意大利 法国 巴西 美国 "	"2017 "	" 剧情 爱情 同性"	"8.9"	"703057"	"导演:卢卡·瓜达尼诺LucaGuadagnino   主演:艾米·汉莫ArmieHammer/..."	"沉醉在电影的情感和视听氛围中无法自拔"	"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg"	" / 以你的名字呼唤我(港 / 台) "	"英语/意大利语/法语/德语/希伯来语"	"132分钟"	"https://movie.douban.com/subject/26799731/"	"34.34"					"0"	
"104"	"断背山"	" Brokeback Mountain"	" 美国 加拿大 "	"2005 "	" 剧情 爱情 同性 家庭"	"8.8"	"693904"	"导演:李安AngLee   主演:希斯·莱杰HeathLedger/杰克·吉伦哈尔Jake..."	"每个人心中都有一座断背山"	"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2604889017.jpg"	" / 断臂山  /  BBM"	"英语"	"134分钟"	"https://movie.douban.com/subject/1418834/"	"34.34"					"0"	
"105"	"剪刀手爱德华"	" Edward Scissorhands"	" 美国 "	"1990 "	" 剧情 奇幻 爱情"	"8.7"	"1016732"	"导演:蒂姆·波顿TimBurton   主演:约翰尼·德普JohnnyDepp/薇诺娜·..."	"浪漫忧郁的成人童话"	"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg"	" / 幻海奇缘(港)  /  剪刀手爱德华"	"英语"	"105分钟"	"https://movie.douban.com/subject/1292370/"	"34.34"					"0"	
"106"	"勇敢的心"	" Braveheart"	" 美国 "	"1995 "	" 动作 传记 剧情 历史 战争"	"8.9"	"550293"	"导演:梅尔·吉布森MelGibson   主演:梅尔·吉布森MelGibson/苏菲·玛..."	"史诗大片的典范"	"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2004174709.jpg"	" / 惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台)"	"英语/法语/拉丁语/苏格兰盖尔语"	"178分钟"	"https://movie.douban.com/subject/1294639/"	"34.34"					"0"	
